#{"t_start": 1749473318.9951131, "env_id": "None"}
r,l,t
-1254.525559,780,40.791663
1054.182012,909,70.831422
-1209.067209,883,100.900033
1511.674678,906,130.931002
-1275.998545,891,160.975924
840.019369,902,191.007013
-1527.320592,889,221.042908
-257.377666,902,251.078546
1410.138333,902,281.128368
-1609.30999,890,311.166894
1058.112949,852,341.217563
-434.516055,295,442.169126
-1257.306749,850,472.23009
-1434.597512,853,502.298234
-204.668914,840,532.333104
1338.218403,875,562.385833
-1334.448062,876,592.443425
607.567772,852,622.488932
1724.545156,864,652.543059
