#{"t_start": 1749473318.9643726, "env_id": "None"}
r,l,t
-1884.729486,780,40.824753
-1742.510215,909,70.862992
-1404.981252,882,100.884718
1858.291503,906,130.923925
-579.056755,891,160.959689
1662.058119,902,190.991135
679.524585,889,221.030496
-1414.832645,902,251.06799
-1645.302653,902,281.105693
1191.717062,890,311.152874
738.534368,852,341.208579
697.405177,296,442.191556
-881.18983,850,472.260837
-178.710582,852,502.281309
1156.429953,840,532.318502
9.053938,875,562.372416
-1344.187008,876,592.42669
-886.1305,852,622.483582
9.417801,864,652.509217
