#{"t_start": 1749473319.0890417, "env_id": "None"}
r,l,t
299.778547,779,40.654064
-50.480721,909,70.704427
1025.598834,883,100.756624
-167.965623,906,130.803803
-511.771327,891,160.835113
357.348367,902,190.862152
-1146.53549,889,220.905281
-1229.574613,902,250.941184
-1593.34045,902,280.988709
-1612.906524,890,311.033788
-96.02016,852,341.076507
-386.524894,296,442.062298
-1308.697241,850,472.137594
-207.882579,853,502.207321
-1164.628471,840,532.243994
1578.578325,875,562.290232
-1563.507701,876,592.350231
1688.639492,852,622.40244
-142.212246,864,652.440936
