#{"t_start": 1749473326.5785232, "env_id": "None"}
r,l,t
1-680.550911,1742,374.049557
-627.636798,1830,404.067749
814.647984,1819,434.085855
.233629,906,130.727488
-1576.668964,891,160.768433
1320.484989,902,190.801263
1315.18314,889,220.836907
-1204.073816,902,250.875671
1441.354984,902,280.913908
-1438.467206,890,310.975667
242.130981,852,341.020591
123.288521,295,441.953925
392.92883,850,472.020862
1105.948895,852,502.057039
-1250.389154,840,532.082114
-913.847752,875,562.133215
-141.504135,875,592.15419
1466.227009,852,622.202717
1689.828916,864,652.220662
