#{"t_start": 1749473319.093598, "env_id": "None"}
r,l,t
-290.641856,780,40.694683
1199.138171,909,70.739671
1825.776206,883,100.80038
1031.944684,906,130.835844
-1532.523295,891,160.881556
-7.207007,903,190.955741
1577.614933,889,221.004412
1188.33924,902,251.022037
-1576.866759,902,281.083274
-343.084317,890,311.132375
470.394832,852,341.173248
-326.463612,294,442.07076
455.916585,850,472.128482
-1113.776352,852,502.153571
-1311.679776,840,532.186529
-313.376598,875,562.241825
98.192126,876,592.30238
1490.858318,852,622.348917
616.890286,864,652.383729
