#{"t_start": 1749473326.6932292, "env_id": "None"}
r,l,t
-1139.518089,1742,373.933788
-3191.75355,1830,403.952587
2649.55131,1819,433.971179
14219,906,131.114924
664.328521,891,161.154279
747.818907,903,191.238916
-895.407075,889,221.268766
-1077.784319,902,251.300395
1037.416919,902,281.354755
-1606.926444,890,311.396771
1268.426571,852,341.45039
-350.454287,294,442.333524
-1006.785713,850,472.405591
-1545.649577,853,502.470659
-359.513518,840,532.51055
-988.22114,875,562.560842
1348.224554,876,592.608037
-133.392832,852,622.667653
-797.838123,864,652.705635
