#{"t_start": 1749473319.1913774, "env_id": "None"}
r,l,t
1015.175706,780,40.591953
-1734.009386,909,70.637684
-1416.911896,883,100.694905
-415.930498,906,130.743864
-1237.545832,891,160.769234
-1645.183553,902,190.799712
565.551306,889,220.837316
-1577.698857,902,250.869806
-1601.117991,902,280.926879
144.549108,890,310.973439
24.032271,852,341.007523
436.860912,295,441.953277
-249.658783,850,472.016166
-1363.113336,852,502.054484
-1382.112807,840,532.082379
-1309.191614,875,562.133599
-52.222445,875,592.152679
1412.598208,852,622.210613
-1512.418231,865,652.285073
