#{"t_start": 1749473317.847307, "env_id": "None"}
r,l,t
-1023.157963,780,41.934976
-1177.049233,909,71.983973
485.248985,883,102.033114
1673.15877,906,132.087471
410.597316,891,162.125734
1724.348344,903,192.196738
484.932286,889,222.239274
1428.728648,902,252.271588
-668.0744,902,282.309045
-692.116722,890,312.364525
-147.291671,852,342.414118
-382.685503,294,443.312932
984.067426,850,473.369701
-741.583066,852,503.39791
301.00238,840,533.432364
-591.815207,875,563.484784
-1592.043665,876,593.54582
521.057196,852,623.589636
-829.573042,864,653.630289
