#{"t_start": 1749473319.1470666, "env_id": "None"}
r,l,t
-601.719607,780,40.636435
-1811.451504,909,70.680738
-1188.686608,883,100.752192
-228.027286,906,130.791126
-36.012756,891,160.822436
-732.718224,902,190.847505
-1645.245388,889,220.894087
-638.269752,902,250.929218
1502.58621,902,280.97493
-618.480924,890,311.01789
-766.264752,852,341.069244
-412.925719,295,442.015898
-276.517337,850,472.081503
246.146232,852,502.10116
806.166837,840,532.13396
-1453.539938,874,562.151152
-1196.586024,876,592.206341
89.540717,852,622.251584
1619.757839,864,652.285838
