#{"t_start": 1749473319.1837296, "env_id": "None"}
r,l,t
1297.192173,780,40.603634
-4645.003993,909,70.647017
1149.946369,883,100.708625
-2185.633115,906,130.746758
671.80228,891,160.783284
-1464.143391,902,190.811231
-1057.401833,889,220.858728
-815.023622,902,250.894821
1225.480764,902,280.934928
-446.76168,890,310.981435
-236.708024,852,341.028112
471.609487,295,441.972982
-1473.157722,850,472.04557
656.049299,853,502.114617
1003.44974,840,532.153562
-213.124645,875,562.198632
1205.60131,876,592.253414
553.978555,852,622.307742
-160.908728,864,652.339926
