#{"t_start": 1749473319.0073283, "env_id": "None"}
r,l,t
-517.89228,780,40.784602
-53.101782,909,70.813964
1122.411057,882,100.840388
706.982635,906,130.887378
1552.76547,891,160.920898
-1638.319015,902,190.947106
1189.686295,889,220.982387
1214.710125,902,251.021799
1143.228437,902,281.072354
1254.556045,890,311.113357
1120.4128,852,341.158224
567.390175,296,442.146255
291.722886,850,472.215831
-908.924462,853,502.292092
502.832562,840,532.33158
-596.352703,875,562.383208
-159.045269,876,592.428417
-1431.36718,852,622.489887
-917.14786,864,652.524923
