#{"t_start": 1749473319.2105813, "env_id": "None"}
r,l,t
872.962755,780,40.568193
-2511.77664,909,70.61751
1553.268668,883,100.676934
1625.758131,906,130.719788
1239.163476,891,160.75781
-210.758131,902,190.783781
1091.64995,889,220.825454
1236.918618,902,250.857304
-522.708394,902,280.905733
-353.923111,890,310.95336
-1435.026401,852,340.992301
-384.9722,295,441.937575
1098.71804,850,471.999848
1401.171526,852,502.031287
-201.608071,840,532.061304
-142.995308,875,562.116909
-136.714977,876,592.175063
1662.237373,852,622.228714
412.511213,864,652.263182
