#{"t_start": 1749473319.115533, "env_id": "None"}
r,l,t
-256.839903,780,40.674325
-1737.247202,909,70.716168
1758.795335,883,100.774147
-1579.547849,906,130.823789
1645.528973,891,160.846654
1417.86484,902,190.88184
-1034.369151,889,220.91139
-919.633177,902,250.959948
-1452.241479,902,281.001623
-1609.118746,890,311.053573
-1078.734458,852,341.102519
-316.255589,295,442.044155
1118.701956,850,472.100549
428.638156,852,502.132446
-247.533581,840,532.165715
-1333.170913,875,562.215276
-94.427403,876,592.28103
-876.344985,852,622.322915
-863.607722,864,652.361892
