#{"t_start": 1749473326.7326517, "env_id": "None"}
r,l,t
-1126.104625,1742,373.896137
733.435181,1830,403.913086
2644.015242,1819,433.931463
992698,906,131.513515
-1331.600367,891,161.556262
1793.076494,902,191.582135
1371.709934,889,221.625011
1408.038454,902,251.662186
1010.221035,902,281.703255
-243.796524,890,311.748279
-959.607722,852,341.79743
-338.077391,296,442.793671
-1493.608693,850,472.840156
-551.592375,852,502.882191
-1293.045569,840,532.905828
-856.023218,875,562.955466
-1541.666392,875,592.980671
532.531447,852,623.037781
1643.008203,865,653.108328
