episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_angular_jerk
102,8,success,89,22.274572134017944,63.20323625206947,0.8142976760864258,19.44536781311035,0.3076641160518683,1.0,0.0
103,12,success,38,9.516339778900146,43.12439547479153,7.516647815704346,8.375995635986328,0.19422870845534607,1.0,0.0
104,9,success,49,12.262588739395142,94.27267803251743,6.236468315124512,11.931182861328125,0.12656034717940978,1.0,0.0
105,12,success,41,10.256901502609253,77.04832653701305,1.2827683687210083,8.375994682312012,0.10871092285551832,1.0,0.0
106,5,success,89,22.266835689544678,74.17010962963104,0.8042819499969482,20.113676071166992,0.27118304356842365,1.0,0.0
107,11,success,31,7.754871845245361,42.61547303199768,3.548027276992798,7.264186382293701,0.17045889357697408,1.0,0.0
108,12,success,42,10.514019966125488,44.45500461757183,16.092126846313477,8.375995635986328,0.18841513363999357,1.0,0.0
109,12,success,40,10.008320093154907,74.9685338633135,2.2096128463745117,8.375995635986328,0.11172681663026619,1.0,0.0
110,11,success,30,7.4954304695129395,32.35401578247547,2.832136869430542,7.264186382293701,0.2245219397534059,1.0,0.0
111,12,success,40,9.994251489639282,77.1327472627163,3.548027276992798,8.375995635986328,0.10859195261718674,1.0,0.0
112,9,success,38,9.516470670700073,48.07301750779152,12.304771423339844,9.60769271850586,0.19985624403437283,1.0,0.0
113,12,success,41,10.250648021697998,43.16961810365319,6.79587459564209,8.375995635986328,0.19402524284266293,1.0,0.0
114,12,success,42,10.517226219177246,39.34055915242061,17.42051887512207,8.375995635986328,0.21290992849223284,1.0,0.0
115,4,success,79,19.7661292552948,35.09613089263439,1.282820224761963,18.227449417114258,0.5193578025132007,1.0,0.0
116,6,success,47,11.746612548828125,63.634043648839,2.0742077827453613,11.031310081481934,0.17335547843474505,1.0,0.0
117,8,success,88,22.01451826095581,40.40584337711334,0.7480977773666382,19.44536781311035,0.4812513782133944,1.0,0.0
118,5,success,89,22.289014101028442,65.82289519906044,0.7756152153015137,20.113676071166992,0.3055726432321089,1.0,0.0
119,4,success,80,20.030557870864868,61.20729446411133,1.5772559642791748,18.227453231811523,0.2977987083304119,1.0,0.0
120,11,success,29,7.287088394165039,41.54666128754616,10.660048484802246,7.264186382293701,0.17484404660143368,1.0,0.0
