#{"t_start": 1749473319.0679517, "env_id": "None"}
r,l,t
1235.281313,780,40.715742
-2407.817495,909,70.746475
1829.829903,882,100.777167
-90.040567,906,130.823992
-1030.829612,891,160.84655
1002.258749,902,190.880873
1467.585195,889,220.924315
-602.950241,902,250.958319
955.234277,902,281.009947
476.880284,890,311.040154
403.601814,852,341.096053
-359.010833,296,442.08223
1312.635176,850,472.145166
-323.680192,852,502.177183
-389.428026,840,532.213265
106.423118,875,562.259319
1242.834794,876,592.319698
-214.271908,852,622.364344
337.84216,864,652.397278
