#{"t_start": 1749473319.263639, "env_id": "None"}
r,l,t
-663.158496,780,40.525624
-2800.306119,909,70.565292
135.130086,883,100.626941
-529.640607,906,130.672827
-1438.676256,891,160.704676
926.291532,902,190.726056
1158.869673,889,220.772815
1376.877254,902,250.807071
-1324.71071,902,280.849499
-1562.746706,890,310.905221
805.46685,852,340.953845
555.017772,295,441.895634
-190.564195,850,471.954196
557.169344,852,501.985367
677.675703,840,532.011493
-218.946226,875,562.068743
-1481.256449,875,592.084421
-332.58099,852,622.140532
-1426.465649,865,652.212616
