#{"t_start": 1749473317.6562734, "env_id": "None"}
r,l,t
-2312.52544,780,42.117408
-962.396134,909,72.174261
1777.095772,883,102.236598
-1973.249409,906,132.2753
-1514.787544,891,162.303138
-1254.486407,902,192.337288
-934.471685,889,222.367091
1577.923759,902,252.413909
573.871724,902,282.460722
-1254.874749,890,312.508735
-345.617611,852,342.543454
343.356448,295,443.500921
-807.118678,850,473.565717
-1412.716096,853,503.637734
307.889395,840,533.671097
345.920064,875,563.721355
-875.988353,876,593.771403
-1146.34714,852,623.822355
-928.873625,864,653.869717
