#{"t_start": 1749473319.2631567, "env_id": "None"}
r,l,t
1016.897865,780,40.508663
-153.66605,909,70.562198
1547.634332,883,100.619833
-187.254744,906,130.670086
54.883961,891,160.70466
504.50817,902,190.726508
1494.135567,889,220.759859
1492.880411,902,250.799006
-1306.161561,902,280.846368
1221.977298,890,310.896312
-63.127289,852,340.942806
597.162717,295,441.891112
-873.488385,850,471.960207
1188.535655,853,502.027411
1123.79136,840,532.055108
1160.129774,875,562.117252
-174.279319,876,592.175176
-152.877798,852,622.217708
487.728405,864,652.255911
