#{"t_start": 1749473319.110341, "env_id": "None"}
r,l,t
1144.557206,780,40.669566
-456.676004,909,70.722604
-2532.027652,883,100.774119
125.579937,906,130.819204
288.080772,891,160.849
165.675171,902,190.884017
1376.956959,889,220.920897
-564.578734,902,250.958894
919.542525,902,280.995868
-1261.783299,890,311.054752
1209.880628,852,341.095981
-210.262064,295,442.042578
521.345388,850,472.094121
1168.5747,852,502.134547
231.430305,840,532.161295
-1142.544558,875,562.213968
1610.304408,875,592.242298
-237.664923,852,622.293444
526.502726,865,652.349236
