#{"t_start": 1749473318.9066193, "env_id": "None"}
r,l,t
-2734.019906,780,40.876678
-1730.656557,909,70.922695
1548.647686,883,100.984762
-1596.987855,906,131.031183
-1547.465521,891,161.063227
1455.330363,902,191.089466
-843.213392,889,221.127114
1124.294124,902,251.161475
-1459.52531,902,281.214716
1341.752778,890,311.264445
-1517.850886,852,341.310658
611.536628,295,442.256077
-1443.32205,850,472.318304
1263.800264,853,502.39812
1259.928444,841,532.47727
-1593.344832,875,562.53084
1567.033829,876,592.584487
-852.332497,852,622.637475
1279.211865,864,652.677227
