#{"t_start": 1749473318.9702888, "env_id": "None"}
r,l,t
-2490.653058,780,40.815855
1761.96252,909,70.864752
1273.560267,883,100.927706
1634.53021,906,130.961683
1021.029065,891,160.991525
-785.498839,902,191.029304
-1244.477084,889,221.067351
1317.663836,902,251.105478
1463.932112,902,281.152358
1225.517747,890,311.189185
1123.07181,852,341.244131
-397.973572,295,442.191802
-126.446002,850,472.254045
-819.991858,853,502.331783
-121.340783,840,532.357173
-1136.762963,875,562.407863
1274.440239,876,592.470181
-1035.7729,852,622.514509
1629.188782,864,652.553811
