#{"t_start": 1749473319.2693279, "env_id": "None"}
r,l,t
-829.184935,780,40.513533
1024.863085,909,70.557698
-1714.223602,883,100.611265
-214.83199,906,130.666647
1330.142033,891,160.694623
-732.433902,902,190.726738
108.825843,889,220.759717
734.394729,902,250.799736
933.484504,902,280.842406
1155.920408,890,310.893838
1291.768272,852,340.935353
675.786898,295,441.874299
-1407.426898,850,471.952526
-1028.648063,853,502.032951
607.632254,841,532.11485
1392.138301,875,562.159662
-859.405914,876,592.211763
-877.584877,852,622.263958
654.691505,864,652.30699
