#{"t_start": 1749473318.777844, "env_id": "None"}
r,l,t
1554.701371,780,41.002288
-3217.724095,909,71.046058
-1512.881588,882,101.069274
1584.343789,906,131.11629
1786.045425,891,161.148226
-1230.361837,902,191.170389
-1644.053294,889,221.216505
-870.181019,902,251.255761
-1575.810265,902,281.300207
-1335.011946,890,311.34133
1346.358118,852,341.391672
704.861,296,442.379415
-1450.273669,850,472.436808
552.950673,852,502.463803
10.98905,840,532.501402
-761.758806,875,562.551111
-1021.348465,875,592.566699
-99.704957,852,622.628031
1581.691698,865,652.70151
