#{"t_start": 1749473319.311776, "env_id": "None"}
r,l,t
473.4386,780,40.463999
-360.498597,909,70.512993
-393.222136,883,100.578977
205.953892,906,130.609266
342.725007,891,160.6461
603.32526,902,190.682745
-1483.84226,889,220.711799
1577.432568,902,250.750364
965.590951,902,280.794793
-1453.245567,890,310.84676
379.781972,852,340.893567
703.847331,295,441.843132
-354.733918,850,471.911431
-553.717226,853,501.983152
-481.799397,840,532.019617
-767.830507,875,562.067188
1132.884549,876,592.122427
-101.857802,852,622.178702
-1261.611408,864,652.207371
