#{"t_start": 1749473318.6501026, "env_id": "None"}
r,l,t
241.64406,780,41.136848
-3352.922842,909,71.179919
-2794.061931,883,101.246608
427.408584,906,131.286697
-1573.938554,891,161.319787
-691.16122,902,191.352136
-1487.188747,889,221.389457
-628.586278,902,251.420612
-948.776383,902,281.472824
-1401.948662,890,311.519677
-1410.583263,852,341.562211
-435.418049,295,442.504751
932.196862,850,472.569856
-261.030311,852,502.598499
-1289.492352,840,532.630652
-851.805144,875,562.68469
-1590.096601,876,592.740168
1577.240475,852,622.798401
1691.580066,865,652.874088
