#{"t_start": 1749473319.15847, "env_id": "None"}
r,l,t
-1385.518552,780,40.629288
-3870.678986,909,70.671233
-182.416093,882,100.689082
424.923847,906,130.736093
-316.366249,891,160.770892
1394.331481,902,190.796453
-1636.633857,889,220.837289
1490.114775,902,250.873621
261.967284,902,280.920838
-211.539874,890,310.964252
-371.727465,852,341.013936
20.861894,296,441.999522
-1398.732978,850,472.055373
404.623049,852,502.090461
234.903986,840,532.121554
-840.353923,875,562.173678
1181.318676,876,592.231979
1594.494283,852,622.28704
-137.023,864,652.318721
