#{"t_start": 1749473318.4986289, "env_id": "None"}
r,l,t
-2489.132695,780,41.27807
379.291951,909,71.330288
1750.245816,883,101.397187
-2472.167751,906,131.433325
1572.275236,891,161.468892
-396.32698,902,191.504595
1376.645914,889,221.539531
1027.612818,902,251.577644
1455.466623,902,281.6243
1093.573555,890,311.669674
325.527246,852,341.719584
66.625224,295,442.65265
-925.902446,850,472.719646
77.006822,852,502.749295
-1111.113854,840,532.781494
-990.760098,875,562.829221
-1414.065609,875,592.853532
1384.58559,852,622.906208
-895.381702,864,652.935138
