#{"t_start": 1749473318.991114, "env_id": "None"}
r,l,t
1628.787489,780,40.789249
-816.611682,909,70.835294
1699.007221,883,100.904727
-257.76911,906,130.93788
1454.032416,891,160.966501
1743.480638,902,191.002659
1340.006072,889,221.042094
1136.483089,902,251.070518
1284.667965,902,281.115057
-859.14367,890,311.174698
-1226.387372,852,341.213214
-162.729602,295,442.171586
1072.012275,850,472.223428
-1538.557431,852,502.24812
-582.596873,840,532.28087
1205.143337,875,562.335525
-523.10555,876,592.396203
1612.941214,852,622.446896
-933.649147,864,652.48171
