#{"t_start": 1749473319.1359286, "env_id": "None"}
r,l,t
1742.138736,780,40.643584
-3879.909501,909,70.695598
-1463.628316,883,100.750027
-1582.638716,906,130.790956
699.234797,891,160.829447
962.303304,902,190.862248
-835.805698,889,220.891409
-799.68347,902,250.937129
-1636.523274,902,280.975912
-1387.360437,890,311.032214
980.747251,852,341.07568
75.888266,295,442.024955
-1394.752274,850,472.072635
1292.502083,852,502.106562
1309.859118,840,532.13669
1486.801639,875,562.189938
-1333.544774,875,592.205681
-1161.691009,852,622.267023
1533.716865,865,652.334186
