#{"t_start": 1749473318.8173268, "env_id": "None"}
r,l,t
703.677702,780,40.966515
-3241.565641,909,71.008146
-869.394735,883,101.066487
-1532.152587,906,131.115919
-1342.272672,891,161.144823
-158.319421,902,191.174398
-1353.110041,889,221.210241
1133.248105,902,251.249886
1336.92563,902,281.297225
1450.475702,890,311.347244
94.522266,852,341.383677
602.662701,295,442.345927
-1171.238861,850,472.397537
-244.340058,852,502.418476
-1261.697113,840,532.462149
-1581.984998,875,562.512124
-1521.853548,876,592.571867
452.017155,852,622.624754
1621.010807,864,652.655713
