#{"t_start": 1749473318.9207668, "env_id": "None"}
r,l,t
-37.224677,780,40.857803
-621.374913,909,70.900879
1781.569996,882,100.924752
-641.150692,906,130.96626
1654.546811,891,160.99723
-1604.003796,902,191.03182
-855.985368,889,221.072825
400.091376,902,251.105071
-1517.672115,902,281.150744
1414.398565,890,311.198246
1263.321001,852,341.246743
33.119416,296,442.224997
562.886572,850,472.285137
510.808318,852,502.324623
1177.467882,840,532.359519
1392.793555,875,562.408776
-602.177055,876,592.465845
294.877546,852,622.514451
-114.975518,864,652.550594
