#{"t_start": 1749473318.9026718, "env_id": "None"}
r,l,t
-635.802491,780,40.87086
-1719.201511,909,70.925086
-79.090752,883,100.98152
-151.176701,906,131.031594
849.912558,891,161.066906
125.053662,902,191.087524
1618.288957,889,221.122368
-1374.504835,902,251.163728
671.59076,902,281.210793
412.62796,890,311.263478
-1154.702394,852,341.299362
-113.926165,295,442.249736
-1057.683975,850,472.320049
-1298.498699,853,502.390486
-113.885809,840,532.431696
-1045.09447,875,562.475323
-1524.127904,876,592.5315
-167.780124,852,622.575233
19.573441,864,652.611485
