#{"t_start": 1749473317.8405848, "env_id": "None"}
r,l,t
1575.989533,780,41.942052
961.748201,909,71.990613
-1814.720451,883,102.052845
-1573.575922,906,132.086528
-1627.236157,891,162.131561
1608.159313,902,192.162542
-500.502297,889,222.198753
-748.369016,902,252.229294
882.327595,902,282.284051
1015.545217,890,312.329347
1003.93611,852,342.376664
-219.454875,295,443.312307
538.178367,849,473.339066
-1549.714819,852,503.36956
-1242.78205,840,533.40103
-1587.320025,875,563.442644
-35.672831,875,593.475346
1474.131146,852,623.529749
-258.240396,865,653.584796
