#{"t_start": 1749473319.0033767, "env_id": "None"}
r,l,t
221.415022,780,40.778913
-3538.616975,909,70.83202
1713.411294,883,100.88978
1787.017257,906,130.919398
-1243.456973,891,160.961874
-1200.844515,902,191.00155
1414.112354,889,221.022644
-1649.63412,902,251.073985
1500.634316,902,281.120986
-865.718524,890,311.163562
-1550.85826,852,341.208283
128.81185,295,442.147887
-973.915581,850,472.220119
-395.192722,853,502.294427
-1325.077252,840,532.323462
-1253.997357,875,562.373445
1449.598835,876,592.433792
1692.435783,852,622.482785
1396.757862,864,652.529544
