#{"t_start": 1749473319.1277325, "env_id": "None"}
r,l,t
1478.16404,780,40.654505
-3506.028582,909,70.700177
-1617.142608,883,100.762392
-2196.214034,906,130.805947
1535.472554,891,160.840224
1269.338476,902,190.868836
1617.197806,889,220.899186
1360.092909,902,250.94541
1233.24616,902,280.983744
-1389.788388,890,311.029638
-134.997122,852,341.080044
222.545345,295,442.027349
4.85633,850,472.091132
1240.329795,853,502.157055
281.473016,840,532.191013
1425.025254,875,562.246278
1452.737069,876,592.295514
1519.935752,852,622.354023
174.369292,864,652.397668
