#{"t_start": 1749473318.9797084, "env_id": "None"}
r,l,t
1540.453772,780,40.795389
-1358.710904,909,70.840934
-2462.256935,882,100.870808
1328.166478,906,130.912276
-1637.477557,891,160.940175
-1657.519556,902,190.969239
-1520.775387,889,221.011317
896.036471,902,251.048189
1178.545554,902,281.093644
-729.225293,890,311.134977
-248.615661,852,341.190842
-386.55422,296,442.178487
1087.142137,850,472.238779
-1439.051294,853,502.304824
-633.078586,840,532.340155
-254.673708,875,562.397962
1191.002094,876,592.458028
1680.936108,852,622.501123
1675.746174,864,652.535491
