#{"t_start": 1749473318.7615905, "env_id": "None"}
r,l,t
-95.196861,780,41.029196
1737.619971,909,71.069332
1707.530705,883,101.128471
-1423.799073,906,131.172636
1786.887848,891,161.199766
-1597.041706,902,191.239915
762.212916,889,221.274644
-101.597062,902,251.310921
648.348077,902,281.355602
-703.362078,890,311.409971
-26.080226,852,341.457318
248.112159,295,442.396617
-998.125786,850,472.46889
-458.513561,853,502.52658
469.010517,840,532.5675
1353.873264,875,562.617719
1409.796685,876,592.677539
-1491.728637,852,622.721658
428.399507,864,652.77402
