#{"t_start": 1749473318.96337, "env_id": "None"}
r,l,t
-1387.119333,780,40.812589
-662.411876,909,70.862432
-1839.765651,883,100.926888
1540.364083,906,130.968369
-760.364039,891,161.00966
-1549.562832,903,191.081967
659.499986,889,221.126614
1175.431971,902,251.155625
774.137007,902,281.201145
-81.807673,890,311.256864
691.134292,852,341.299823
493.787287,294,442.186874
-193.567683,850,472.257763
1327.450427,853,502.328694
-771.945242,840,532.359587
-157.337607,875,562.411371
-294.344404,876,592.467179
413.14201,852,622.516351
-210.659626,864,652.568566
