#{"t_start": 1749473318.7746396, "env_id": "None"}
r,l,t
1549.062216,780,41.009953
1944.13051,909,71.047195
-1110.478264,882,101.063856
1877.663041,906,131.111643
1415.93656,891,161.143264
1661.495075,902,191.172371
-1639.344737,889,221.212106
-1649.804352,902,251.253778
1430.824368,902,281.302005
1146.770146,890,311.345934
323.077598,852,341.389482
597.789879,296,442.377532
1283.608253,850,472.440616
-168.962207,852,502.462925
-707.176074,840,532.501014
-1580.048145,875,562.556183
-276.081679,876,592.612423
1631.818453,852,622.668005
734.390985,864,652.686537
