#{"t_start": 1749473318.6986794, "env_id": "None"}
r,l,t
-1010.828599,780,41.076528
-3574.944481,909,71.118648
295.949577,882,101.142312
-334.587909,906,131.195219
1875.631629,891,161.224007
-931.057923,902,191.251187
1335.020158,889,221.290665
-1615.382461,902,251.333506
-1606.392194,902,281.372391
-1212.183167,890,311.422493
245.995042,852,341.466817
-431.636286,296,442.4527
951.336939,850,472.527255
-1369.351068,853,502.600244
-748.179373,841,532.690801
-14.865869,875,562.729471
-273.426453,876,592.78582
-105.931967,852,622.822857
-1178.381856,864,652.886043
