#{"t_start": 1749473317.8015747, "env_id": "None"}
r,l,t
1742.327085,779,41.941252
505.865043,909,71.99158
-1139.590329,882,102.01163
-1452.745494,906,132.052284
-1599.505292,891,162.090302
-322.65734,902,192.115223
-1636.009343,889,222.156042
-416.127084,902,252.193985
-549.308594,902,282.240812
-1431.656893,890,312.285106
-1500.53724,852,342.322886
-415.707601,297,443.357728
716.36855,850,473.427693
470.85541,853,503.490711
-920.511754,840,533.536428
-1355.124011,875,563.586067
1090.121307,876,593.6322
-1336.778546,852,623.695223
1761.302481,864,653.737255
