#{"t_start": 1749473319.0981457, "env_id": "None"}
r,l,t
-316.28285,779,40.650143
1939.358578,909,70.689688
1119.335043,882,100.707392
-1644.915497,906,130.745933
-1501.556388,891,160.788986
1710.598978,902,190.817932
1685.858093,889,220.859418
-1530.474573,902,250.896592
-900.899213,902,280.937035
957.055471,890,310.986724
1378.545643,852,341.034119
21.15397,297,442.052038
918.022515,850,472.131279
-1350.288572,853,502.185761
-1319.115099,840,532.235315
-397.082756,875,562.281732
-153.971301,876,592.323183
-973.311702,851,622.34387
1504.038561,864,652.377853
