#{"t_start": 1749473319.2695062, "env_id": "None"}
r,l,t
-33.244241,780,40.509178
87.506767,909,70.563698
1774.299116,883,100.618041
-2343.067405,906,130.66347
-728.69831,891,160.70018
1683.420891,902,190.726906
202.832996,889,220.765821
1015.393712,902,250.808568
528.155197,902,280.84971
-1448.803593,890,310.891158
-953.561146,852,340.937135
-72.110027,295,441.875294
-578.767132,850,471.94456
-1345.788304,852,501.981491
1070.625042,841,532.065778
-418.295512,875,562.101815
1452.020298,876,592.162666
1679.417367,852,622.215334
-849.163923,864,652.253304
