#{"t_start": 1749473317.91859, "env_id": "None"}
r,l,t
-1230.286538,780,41.868208
-3616.656322,909,71.913263
-1678.385166,883,101.962398
1493.700753,906,132.007268
1721.231858,891,162.052259
726.139176,902,192.07583
1593.708569,889,222.112403
-1056.11797,902,252.147751
-697.050821,902,282.196629
-951.047211,890,312.245668
-1165.657485,852,342.284915
644.397776,295,443.242994
1094.75104,850,473.299085
-1396.115153,852,503.330672
-1387.085631,840,533.35383
-1408.974237,875,563.409045
1350.05047,876,593.476279
250.804396,852,623.522338
-936.629078,864,653.556855
