#{"t_start": 1749473317.8871293, "env_id": "None"}
r,l,t
-2495.435131,780,41.891625
-649.378898,909,71.938231
-705.970218,883,101.994953
-1697.509289,906,132.033527
-760.543643,891,162.066326
-1331.46904,902,192.107595
-1542.818021,889,222.140826
-1623.319993,902,252.188092
1181.60724,902,282.234848
1160.406241,890,312.273916
255.235787,852,342.317629
60.044541,295,443.260538
1205.700642,850,473.335009
-907.866005,853,503.409785
353.504446,840,533.444039
1314.004897,875,563.491202
-1560.232309,876,593.551771
-1196.817076,852,623.598347
450.510804,864,653.63104
