#{"t_start": 1749473319.2703907, "env_id": "None"}
r,l,t
-2335.635858,779,40.474245
-1013.147933,909,70.523468
-456.218337,883,100.577224
1889.965578,906,130.623735
-1628.682611,891,160.655645
759.482701,902,190.674982
-818.720826,889,220.719593
1157.292882,902,250.763173
-1533.182538,902,280.802922
1477.075119,890,310.852263
-1552.598909,852,340.892837
26.711904,296,441.891464
1369.625267,850,471.956854
-1424.0415,853,502.035579
-833.90858,841,532.113684
-106.606492,875,562.160519
-1209.264609,876,592.220434
445.361729,852,622.275705
1708.804823,864,652.319972
