#{"t_start": 1749473317.6913557, "env_id": "None"}
r,l,t
-2347.632789,780,42.09803
588.566276,909,72.141365
-1869.850135,883,102.204965
1118.092878,906,132.240731
935.117306,891,162.274547
-700.90081,902,192.307158
-1287.632436,889,222.350833
-1542.458186,902,252.386683
1177.31472,902,282.43225
1047.2295,890,312.481488
-1525.553613,852,342.520487
608.814257,295,443.462769
-1305.498185,850,473.536044
1000.087357,853,503.610537
-576.180559,840,533.64169
1181.116321,875,563.694046
1293.964295,876,593.748975
1656.101316,852,623.806254
-934.824971,864,653.84506
