#{"t_start": 1749473318.6616054, "env_id": "None"}
r,l,t
-2674.701836,780,41.11023
-307.843549,909,71.157827
-631.26898,882,101.183756
1048.875313,906,131.223048
491.429545,891,161.262428
1661.250721,902,191.28477
631.943021,889,221.327001
-1637.958903,902,251.357996
-872.917089,902,281.404111
1494.699397,890,311.452221
-1440.27398,852,341.503405
674.296448,296,442.495232
1200.71327,850,472.543967
-825.396766,852,502.586427
-1367.619244,840,532.610404
-654.956436,875,562.66072
-1057.204804,875,592.682922
-969.094096,852,622.743464
1452.862297,865,652.810824
