#{"t_start": 1749473318.936622, "env_id": "None"}
r,l,t
-1800.960199,780,40.839972
-1705.682689,909,70.889952
-2847.912151,883,100.949311
-1521.532244,906,130.985551
1206.018492,891,161.030411
-1637.915316,902,191.049704
-1455.716803,889,221.089418
-1568.639539,902,251.130721
1382.219026,902,281.170092
-1078.633693,890,311.224295
-1381.876575,852,341.262612
1.298329,295,442.22052
1222.028088,850,472.267334
-553.067875,852,502.310395
1077.635836,840,532.341284
-160.633617,875,562.39137
-727.75467,876,592.45606
-1483.070466,852,622.499608
-983.387404,864,652.540027
