#{"t_start": 1749473318.7996173, "env_id": "None"}
r,l,t
1677.237343,780,40.987813
-1494.743543,909,71.031497
-1429.05053,883,101.09303
-1794.06955,906,131.132786
-1591.661963,891,161.166637
-1649.464502,902,191.204638
-190.109774,889,221.239787
-1438.93187,902,251.27457
1256.724352,902,281.323988
-702.783834,890,311.36993
-666.623955,852,341.414804
-389.786949,295,442.357799
-1339.870363,850,472.428994
1035.142146,853,502.489415
-1366.960994,840,532.532268
202.453183,875,562.585928
-1247.726445,876,592.644064
-127.509261,852,622.693947
-173.991926,864,652.736914
