episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
1,11,collision,17,6.975279808044434,42.096797689795494,5.898101806640625,7.264186382293701,0.0,1.0,2.7568626403808594
2,9,success,29,9.978586673736572,53.9183047413826,12.349263191223145,7.484177112579346,0.13880586840548786,1.0,1.8409092426300049
3,9,success,29,9.980519533157349,13.861665546894073,12.233739852905273,7.484177112579346,0.5399190369483625,1.0,0.3163529932498932
4,9,success,29,9.982438802719116,53.118406534194946,5.844166278839111,7.484177112579346,0.1408961149420288,1.0,1.8052996397018433
5,11,success,35,11.480651378631592,44.717635199427605,5.898101806640625,7.264186382293701,0.16244567383533476,1.0,1.168994426727295
6,12,success,37,11.985007047653198,29.029431078583002,2.832136869430542,8.375994682312012,0.2885345792564139,1.0,0.6358349323272705
7,12,success,37,11.987586975097656,46.08482198417187,14.67751407623291,8.375994682312012,0.18175169875211414,1.0,1.1347452402114868
8,11,success,37,11.98999834060669,46.43726662581321,11.077319145202637,7.264186382293701,0.15643010259039963,1.0,1.1912975311279297
9,12,success,37,11.992491722106934,44.57200153172016,5.844166278839111,8.375994682312012,0.18792054192027122,1.0,1.0953729152679443
10,9,success,42,13.243208885192871,56.61030213534832,12.089934349060059,10.58480453491211,0.18697664798900268,1.0,1.2241413593292236
11,6,success,48,14.739425897598267,61.66186586022377,1.225284218788147,11.031310081481934,0.17890003696105963,1.0,1.1545037031173706
12,6,success,49,14.992494583129883,39.90185549855232,1.207898497581482,11.031310081481934,0.2764610804097108,1.0,0.6499663591384888
13,6,success,49,14.994111776351929,46.25027473270893,0.9867616891860962,11.031310081481934,0.2385133957632562,1.0,0.7897695302963257
14,7,success,55,16.494250059127808,53.61307252943516,0.9959881901741028,13.892915725708008,0.25913298884484537,1.0,0.7975929975509644
15,7,success,55,16.496593713760376,53.53207930922508,1.0295628309249878,13.892915725708008,0.2595250531079944,1.0,0.7892252802848816
16,7,success,56,16.746249675750732,28.838744550943375,1.0820971727371216,13.892915725708008,0.4817448173295582,1.0,0.3069283962249756
17,7,success,56,16.748734712600708,39.627698332071304,1.0820971727371216,13.892915725708008,0.350585986833968,1.0,0.5186148881912231
18,8,success,57,16.993869304656982,54.05527940392494,0.7801003456115723,12.535104751586914,0.23189418110151777,1.0,0.7679020166397095
19,7,success,57,16.99687170982361,67.5875241458416,0.9163009524345398,13.892915725708008,0.2055544407238475,1.0,1.0208160877227783
20,11,success,30,7.5128257274627686,40.214876905083656,10.850972175598145,7.264186382293701,0.1806343060414893,1.0,1.245158314704895
21,8,success,61,17.998733520507812,41.72165524959564,0.8433211445808411,13.43648624420166,0.3220506512461987,1.0,0.4896107316017151
22,8,success,61,18.00127410888672,105.82350653409958,0.7998474836349487,13.43648624420166,0.12697071458194414,1.0,1.5980433225631714
23,8,success,61,18.003801345825195,101.52139090001583,0.7877724766731262,13.43648624420166,0.13235128208039124,1.0,1.516353964805603
24,5,collision,61,18.00619602203369,73.32175572216511,1.0526822805404663,20.113676071166992,0.0,1.0,1.0263938903808594
25,8,success,63,18.498758554458618,73.14376842975616,1.0947930812835693,13.43648624420166,0.18369967165563023,1.0,0.9852306246757507
26,8,success,63,18.50288963317871,90.51004803180695,1.0947930812835693,13.43648624420166,0.14845297882816086,1.0,1.2760634422302246
27,11,success,30,7.511002063751221,38.08187408745289,25.57793617248535,7.264186382293701,0.1907518092626404,1.0,1.1847710609436035
28,1,success,69,20.00356960296631,41.02392187714577,3.074056386947632,16.530359268188477,0.40294439224245554,1.0,0.3898751139640808
29,1,success,70,20.256085634231567,51.79135003685951,3.0421102046966553,16.530359268188477,0.3191722026250319,1.0,0.5360121726989746
30,12,collision,1,0.2526419162750244,55.847103118896484,10.943146705627441,8.375995635986328,0.0,1.0,
31,1,success,71,20.502965450286865,35.779990926384926,2.832136869430542,16.530359268188477,0.46200009670764447,1.0,0.2940741181373596
32,1,success,71,20.505999326705933,35.779990926384926,2.832136869430542,16.530359268188477,0.46200009670764447,1.0,0.2940741181373596
33,8,success,72,20.755424976348877,109.11240409314632,1.321451187133789,14.817985534667969,0.13580477543156555,1.0,1.3495975732803345
34,9,success,44,11.030278444290161,54.55363708734512,7.3949198722839355,11.206059455871582,0.20541360859093052,1.0,1.1051098108291626
35,4,success,74,21.257060527801514,78.5112252086401,0.7498403191566467,18.227453231811523,0.2321636579148125,1.0,0.8710848093032837
36,7,success,74,21.260727167129517,76.706507563591,1.1199697256088257,18.574037551879883,0.2421442214206101,1.0,0.8452538251876831
37,4,success,79,22.51573610305786,74.80623838305473,0.874317467212677,18.227453231811523,0.24366220820348647,1.0,0.7450709342956543
38,11,success,38,9.51051378250122,41.85059420764446,10.84652328491211,7.264186382293701,0.1735742710426515,1.0,0.9733230471611023
39,11,success,30,7.516942501068115,39.42863315343857,4.223029136657715,7.264186382293701,0.18423632272579027,1.0,1.2245774269104004
40,11,success,30,7.518981456756592,44.26557385921478,10.793370246887207,7.264186382293701,0.16410464722308152,1.0,1.3950376510620117
41,1,success,85,24.02041792869568,43.081749349832535,2.8204946517944336,18.023468017578125,0.4183550642575795,1.0,0.29133158922195435
42,5,success,86,24.275225162506104,63.236163422465324,0.7027294039726257,20.113676071166992,0.31807236528238514,1.0,0.5296167135238647
43,5,success,87,24.5163094997406,43.9273534566164,0.6635046005249023,20.113676071166992,0.4578849962138441,1.0,0.29315826296806335
44,9,success,44,11.03803300857544,55.90042108297348,12.414641380310059,11.206059455871582,0.20046466983206318,1.0,1.1324183940887451
45,12,success,35,8.77513074874878,68.05378982424736,10.850972175598145,8.375996589660645,0.1230790615966005,1.0,1.9111591577529907
46,1,success,52,13.024045944213867,42.03273410524707,0.6648567914962769,10.72222900390625,0.2550923520001941,1.0,0.6882014870643616
47,9,success,44,11.022099494934082,54.48619157075882,7.3949198722839355,11.206059455871582,0.2056678790133233,1.0,1.1074926853179932
48,6,success,48,12.033910989761353,66.1921113897115,2.144667625427246,11.031310081481934,0.16665596322398885,1.0,1.266852617263794
49,12,success,42,10.516847848892212,27.335201784968376,2.832136869430542,8.375995635986328,0.30641791861921747,1.0,0.5301640033721924
50,1,success,48,12.019102334976196,25.644406393170357,0.6084181070327759,10.72222900390625,0.4181118033896782,1.0,0.39274483919143677
51,4,success,76,19.042129278182983,70.40369991958141,0.8118642568588257,18.227453231811523,0.2588990813356659,1.0,0.7373764514923096
52,5,success,85,21.30118989944458,39.94434852898121,1.0737215280532837,20.113676071166992,0.5035424737638098,1.0,0.256429523229599
53,6,success,50,12.5190749168396,62.92770723323338,1.146872639656067,11.031310081481934,0.1753013190294033,1.0,1.1509273052215576
54,9,success,51,12.775253295898438,24.34859209325373,12.232990264892578,12.735504150390625,0.5230488934068288,1.0,0.29667404294013977
55,12,success,35,8.758495569229126,41.3527864664793,7.3949198722839355,8.375996589660645,0.20254975070302103,1.0,1.0948550701141357
56,7,success,104,26.06429958343506,49.13958065211773,1.5642950534820557,25.403175354003906,0.5169595470064136,1.0,0.27077439427375793
57,5,success,85,21.2876193523407,50.700260028243065,1.1336525678634644,20.113676071166992,0.39671741446616793,1.0,0.38445335626602173
58,9,success,50,12.526037216186523,53.26657383143902,10.84652328491211,12.735504150390625,0.23908998147115426,1.0,0.9077621698379517
59,11,success,34,8.499188899993896,41.19957832992077,24.349437713623047,7.264186382293701,0.17631700800729216,1.0,1.1241710186004639
60,5,success,85,21.28941321372986,40.6847709864378,1.0314608812332153,20.113676071166992,0.4943785004436145,1.0,0.26390498876571655
61,4,success,79,19.796076774597168,56.62778928875923,1.5814827680587769,18.227453231811523,0.32188177325562173,1.0,0.5070276856422424
62,7,success,102,25.553207397460938,94.26027809083462,1.5977191925048828,25.403175354003906,0.269500322601679,1.0,0.7331850528717041
63,4,success,82,20.53932809829712,71.95804916322231,1.5009390115737915,18.227453231811523,0.253306661920006,1.0,0.6704526543617249
64,6,success,46,11.50852656364441,51.04534398764372,1.7771977186203003,11.031310081481934,0.21610805647920064,1.0,0.9731552600860596
65,8,success,64,16.021005868911743,59.46940000355244,1.0115044116973877,13.730537414550781,0.23088407506601008,1.0,0.7449036836624146
66,12,success,38,9.513425827026367,43.45272198273233,7.516647815704346,8.375995635986328,0.19276112643334206,1.0,1.0629397630691528
67,11,success,33,8.271210670471191,39.23236821591854,3.438039541244507,7.264186382293701,0.18515798848325082,1.0,1.0818434953689575
68,5,success,85,21.300352096557617,50.578100830316544,0.9738216400146484,20.113676071166992,0.3976755896518527,1.0,0.3869897723197937
69,1,success,77,19.30145025253296,46.91253496706486,1.2000523805618286,18.747018814086914,0.3996164101396,1.0,0.403915673494339
70,1,success,77,19.301900625228882,85.46262957155704,1.2000523805618286,18.747018814086914,0.21935925571293374,1.0,0.9230709671974182
71,8,success,94,23.54359769821167,76.08739051222801,1.115654706954956,20.88999366760254,0.27455263647457206,1.0,0.5978071689605713
72,1,success,77,19.28202247619629,46.91253496706486,1.2000523805618286,18.747018814086914,0.3996164101396,1.0,0.403915673494339
73,9,success,33,8.251865148544312,15.326957032084465,12.232990264892578,8.179953575134277,0.5336971688516442,1.0,0.29789936542510986
74,8,success,93,23.28255271911621,75.94148296117783,0.9718061685562134,20.88999366760254,0.2750801387205165,1.0,0.601323127746582
75,12,success,43,10.750011205673218,69.45416955649853,10.641582489013672,8.375995635986328,0.12059744849692212,1.0,1.5601832866668701
