episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_jerk
44,4,success,76,21.7824068069458,46.91945581138134,0.7630318999290466,18.227453231811523,0.38848390111528225,1.0,0.4135931134223938
45,6,success,47,11.757657051086426,21.940062955021858,2.0157878398895264,11.031310081481934,0.5027930003709027,1.0,0.2937382459640503
46,4,success,76,21.787079334259033,36.185552433133125,0.8119698166847229,18.227453231811523,0.5037218449405693,1.0,0.2687687575817108
47,4,success,76,21.78924036026001,42.221647683531046,0.7678245306015015,18.227453231811523,0.4317087141751058,1.0,0.35215961933135986
48,4,success,76,21.79214596748352,46.95634390413761,0.7867356538772583,18.227453231811523,0.3881787148723347,1.0,0.4093237519264221
49,12,success,40,10.036809921264648,75.56721077859402,2.3948330879211426,8.375994682312012,0.11084165468079822,1.0,1.8850795030593872
50,4,success,77,22.03269052505493,70.56866476954019,0.8551987409591675,18.227453231811523,0.25829386585870484,1.0,0.7232142090797424
51,4,success,79,22.536078929901123,31.98378622531891,0.6908714771270752,18.227453231811523,0.5698966689998185,1.0,0.20927001535892487
52,11,collision,13,3.2400012016296387,33.129663556814194,4.473317623138428,7.264186382293701,0.0,1.0,3.04439377784729
53,4,success,81,23.044541120529175,53.75200272312213,0.6263961791992188,18.227453231811523,0.3391027740064231,1.0,0.46830087900161743
54,4,success,77,19.28752326965332,52.73845925927162,0.6271098256111145,18.227453231811523,0.3456197524126014,1.0,0.4828049838542938
55,8,collision,17,4.252179384231567,95.6381538992282,1.0784811973571777,13.730537414550781,0.0,1.0,6.655233860015869
56,11,success,29,7.255198955535889,40.00673921406269,10.850972175598145,7.264186382293701,0.18157406789454816,1.0,1.2948024272918701
57,11,success,29,7.254779100418091,13.756924778223038,37.14019012451172,7.264186382293701,0.5280385332769121,1.0,0.29910993576049805
58,9,success,33,8.25646686553955,51.45895099668701,10.167107582092285,8.179953575134277,0.1589607525357622,1.0,1.476765513420105
59,9,success,32,8.009523153305054,94.30906082689762,6.236468315124512,8.188887596130371,0.0868303376614142,1.0,3.0073740482330322
60,11,success,28,7.007696628570557,13.307480424642563,6.79587459564209,7.264186382293701,0.5458724078858689,1.0,0.3034347891807556
61,4,success,75,18.768572568893433,58.67858229577541,0.632682204246521,18.227453231811523,0.3106321338837768,1.0,0.5743042230606079
62,4,success,76,19.03308653831482,58.7795367538929,0.6795294880867004,18.227453231811523,0.31009862000323335,1.0,0.5675795674324036
63,9,success,32,8.012831926345825,46.233691811561584,12.238863945007324,8.179953575134277,0.17692624695587753,1.0,1.3533645868301392
64,4,success,77,19.284419775009155,60.517740325885825,0.6622946262359619,18.227453231811523,0.3011919006502449,1.0,0.5893383026123047
65,12,success,41,10.273528575897217,38.51018738746643,17.75788116455078,8.375995635986328,0.21750077587813527,1.0,0.8556860089302063
66,8,collision,17,4.271493196487427,7.338383346796036,0.8428823351860046,19.18897247314453,0.0,1.0,0.28117769956588745
67,1,success,55,13.782567501068115,34.984209280369214,0.8247312307357788,10.72222900390625,0.30648767613915584,1.0,0.545741617679596
68,7,success,78,19.538034200668335,44.14446344971657,0.8553521633148193,19.6674747467041,0.4455252869730004,1.0,0.35464954376220703
69,6,success,45,11.273192882537842,65.62346751987934,1.3435089588165283,11.031310081481934,0.1681000791087459,1.0,1.3459733724594116
70,12,success,41,10.277478218078613,64.6440984159708,10.561279296875,8.375995635986328,0.12957092513052942,1.0,1.5386106967926025
71,8,collision,13,3.263986110687256,44.11515727639198,2.756185293197632,18.490488052368164,0.0,1.0,4.137512683868408
72,5,collision,15,3.7492637634277344,31.675989285111427,2.832136869430542,20.113676071166992,0.0,1.0,2.389300584793091
73,6,success,44,11.024727821350098,50.46673873066902,1.355689287185669,11.031310081481934,0.21858575289268933,1.0,1.0161354541778564
74,6,collision,23,5.765693664550781,56.91914787888527,1.0306919813156128,11.031310081481934,0.0,1.0,2.6015591621398926
75,8,collision,14,3.500007152557373,96.11900195479393,2.427523136138916,18.375354766845703,0.0,1.0,8.481261253356934
76,4,success,79,19.80584144592285,63.44068852066994,1.0345567464828491,18.227449417114258,0.28731481076494747,1.0,0.6121931076049805
77,12,success,37,9.293006658554077,38.73066106438637,12.233739852905273,8.375996589660645,0.21626268076695815,1.0,0.954201877117157
