episode,scenario_id,result,steps,time_s,path_len,min_dist_human,start_to_goal,spl,space_compliance,avg_angular_jerk
1,6,collision,7,4.607764005661011,1.7238242477178574,8.924033164978027,11.030163764953613,0.0,1.0,8.095368385314941
2,12,success,33,11.112229347229004,8.131514862179756,15.337848663330078,8.375995635986328,1.0,1.0,8.819362332743983
3,12,success,33,11.114735841751099,8.126942813396454,16.10533905029297,8.375995635986328,1.0,1.0,8.237067222595215
4,12,success,33,11.117146015167236,8.124037966132164,13.241839408874512,8.375994682312012,1.0,1.0,6.081593575016145
5,12,success,34,11.365292310714722,8.36813722550869,14.925353050231934,8.375995635986328,1.0,1.0,6.050954878330231
6,12,success,34,11.367369174957275,8.37039241194725,11.146209716796875,8.375995635986328,1.0,1.0,8.460034757852554
7,15,success,43,13.626563787460327,10.607535853981972,1.2698652744293213,11.007061958312988,1.0,1.0,24.62360724007211
8,6,success,44,13.870518684387207,10.776939794421196,2.505997896194458,11.030163764953613,1.0,1.0,5.852212292807443
9,6,success,44,13.874428033828735,10.67105147242546,0.7573597431182861,11.030163764953613,1.0,0.8636363636363636,10.717913241613479
10,6,success,45,14.114546775817871,10.763335786759853,0.77534419298172,11.030163764953613,1.0,0.9111111111111111,9.78528816755428
11,6,success,45,14.11653995513916,10.854412101209164,2.357365846633911,11.030163764953613,1.0,1.0,6.680578165276106
12,15,collision,52,15.885940074920654,12.165622468077345,0.8233254551887512,12.9812593460083,0.0,0.8461538461538461,21.195354843139647
13,9,collision,55,16.60331630706787,12.02624314422792,0.7238023281097412,17.0129337310791,0.0,0.8727272727272727,10.212167344003353
14,7,success,59,17.61876630783081,14.531357184052467,1.0045509338378906,14.658344268798828,1.0,1.0,4.1909543087607934
15,15,success,69,20.11485767364502,16.77687680721283,1.3285223245620728,15.963216781616211,0.9515011026815906,1.0,19.31989128909894
16,9,success,72,20.870893239974976,17.106099235039437,0.7188960909843445,17.339675903320312,1.0,0.8333333333333334,10.604396847316197
17,8,success,72,20.873132944107056,17.715634018182755,0.835532009601593,17.90040397644043,1.0,0.9305555555555556,6.256098011561803
18,8,success,72,20.87532067298889,17.69255968928337,0.7675591707229614,17.900402069091797,1.0,0.9722222222222222,5.153820501055036
19,8,success,73,21.11615824699402,17.960343047976494,0.6901211142539978,17.900402069091797,0.9966625927620324,0.8904109589041096,5.14064157512826
20,8,success,73,21.118480682373047,17.967968687415123,0.6951950788497925,17.900402069091797,0.9962396072979217,0.8904109589041096,5.088848382654325
21,8,success,73,21.12121272087097,17.92054995894432,0.8683428764343262,17.900402069091797,0.9988757102935634,0.9726027397260274,4.286644572943029
22,8,success,73,21.124172925949097,17.8270812779665,0.7751107215881348,17.900402069091797,1.0,0.8767123287671232,6.379296840076715
23,15,success,73,21.127381324768066,17.836453199386597,1.065736174583435,16.0540771484375,0.9000711615126267,1.0,16.29484896592691
24,8,success,73,21.130436658859253,17.720850819721818,0.7800527811050415,17.90040397644043,1.0,0.958904109589041,5.92783076326612
25,8,success,73,21.13343572616577,17.718106480315328,0.8657776713371277,17.900402069091797,1.0,0.9041095890410958,6.555150824533382
26,8,success,77,22.116410732269287,17.835397200251464,0.8135166168212891,17.900402069091797,1.0,0.935064935064935,5.004580777486165
27,7,success,81,23.120707273483276,19.939372032880783,1.331667423248291,20.02130126953125,1.0,1.0,5.148259742350518
28,9,success,81,23.123083353042603,19.824768662452698,0.6712738275527954,20.052152633666992,1.0,0.9506172839506173,7.8968074653722065
29,8,success,77,19.28425097465515,17.79495411925018,0.8626936674118042,17.900402069091797,1.0,0.9090909090909091,5.633994814554851
30,7,success,87,24.62253999710083,21.42314851284027,1.3212088346481323,21.510948181152344,1.0,1.0,4.335377738055061
31,15,success,55,13.764168977737427,13.432288751006126,0.8995157480239868,13.12203598022461,0.9769024641643236,0.9636363636363636,9.351001109717027
32,7,success,90,25.389220476150513,22.123669609427452,1.8113962411880493,22.173233032226562,1.0,1.0,6.145867326042869
33,5,collision,92,25.879957914352417,21.56959136016667,0.7057363390922546,24.310110092163086,0.0,0.9565217391304348,5.18099259270562
34,12,success,33,8.260673522949219,8.126673087477684,14.650879859924316,8.375995635986328,1.0,1.0,8.913781319895099
35,6,success,48,12.006093978881836,10.966424728128914,0.7433246970176697,11.030163764953613,1.0,0.9166666666666666,9.393529311470363
36,5,success,97,27.140418529510498,23.576231569051743,0.7076972126960754,22.93577003479004,0.9728344399576381,0.9381443298969072,5.1932683141607985
37,6,success,44,11.019299030303955,10.829421550035477,1.7217754125595093,11.030163764953613,1.0,1.0,5.505203769320533
38,14,success,100,27.874312162399292,23.798331633210182,0.6615996360778809,23.221542358398438,0.9757634575523418,0.95,5.167245825942682
39,14,success,101,28.13271737098694,23.77611342072487,2.443554162979126,23.221542358398438,0.9766752852952396,1.0,5.515879245719525
40,12,success,33,8.25132131576538,8.128277719020844,15.371138572692871,8.375995635986328,1.0,1.0,9.905353853779454
41,9,success,72,18.01182985305786,17.31280142619653,0.7469202280044556,17.420930862426758,1.0,0.8055555555555556,9.616538878849575
42,5,success,109,30.127475023269653,26.27309277653694,0.7320070266723633,25.3393611907959,0.9644605378710912,0.8256880733944955,5.545115943266967
43,5,success,110,30.380615234375,26.377774953842163,0.7251893281936646,25.347204208374023,0.9609303382384787,0.7636363636363637,5.340991346924393
44,9,collision,71,17.7498722076416,15.721726892283186,0.7092286944389343,20.60295867919922,0.0,0.9014084507042254,9.554816702137822
45,8,success,72,17.997480154037476,17.669457376003265,0.8656314015388489,17.900402069091797,1.0,0.9722222222222222,4.624698829650879
46,6,success,44,11.009692907333374,10.81544853746891,0.7779033780097961,11.030163764953613,1.0,0.9090909090909091,8.173291251772927
47,14,collision,43,10.748143196105957,10.009663492441177,0.7081867456436157,23.221542358398438,0.0,0.9069767441860465,7.9255536242229185
48,8,success,72,18.019516229629517,17.70214779675007,0.8327086567878723,17.90040397644043,1.0,0.9444444444444444,4.5175698961530415
49,7,success,85,21.26947593688965,20.917689383029938,1.470738410949707,21.11306381225586,1.0,1.0,6.3531176555587585
50,12,success,33,8.257831573486328,8.128896430134773,18.058446884155273,8.375995635986328,1.0,1.0,6.061444251768051
51,15,success,52,13.018083333969116,12.76844972372055,0.8779674768447876,12.418475151062012,0.9725906762190265,0.9423076923076923,14.083890018463135
52,6,success,49,12.251607656478882,10.751920913088725,0.7535587549209595,11.030163764953613,1.0,0.8979591836734694,14.289669686175408
53,6,success,48,12.017408609390259,10.810921520052943,0.757495105266571,11.030163764953613,1.0,0.9166666666666666,7.960952240487804
54,12,success,34,8.508542776107788,8.371680408716202,15.515180587768555,8.375995635986328,1.0,1.0,6.1681011617183685
55,9,success,94,23.517579793930054,20.859875890542753,0.8650696277618408,20.105838775634766,0.9638522722347622,0.9361702127659575,9.222730875015259
56,6,success,44,10.996309280395508,10.828537285327911,0.7437489628791809,11.030163764953613,1.0,0.9318181818181818,6.638169856298537
57,15,success,64,16.020710945129395,15.661559954285622,1.0386478900909424,14.635235786437988,0.9344685860895491,1.0,16.19419437839139
58,7,success,87,21.749597787857056,21.390848726034164,1.5944772958755493,21.592588424682617,1.0,1.0,4.26134817460004
59,14,success,107,26.773796558380127,25.458305597305298,1.3925648927688599,23.221542358398438,0.9121401371211595,1.0,7.651013655889602
60,15,success,58,14.489810943603516,14.122762560844421,0.9653241038322449,13.712225914001465,0.9709308539972784,0.9655172413793104,12.788511105946132
61,15,success,55,13.75327754020691,13.496992319822311,1.0601999759674072,13.611837387084961,1.0,1.0,11.84414395746195
62,8,success,75,18.772130727767944,17.609104148301412,0.8529185652732849,17.900402069091797,1.0,0.92,8.436180062489967
63,9,collision,49,12.269163131713867,10.7655810425058,0.6907971501350403,16.170602798461914,0.0,0.7142857142857143,8.188245042841485
64,6,success,44,11.027231216430664,10.795200064778328,2.3921773433685303,11.030163764953613,1.0,1.0,8.438183489299956
65,9,success,73,18.288331747055054,16.176289255497977,0.7252680063247681,16.294729232788086,1.0,0.821917808219178,12.303372826374753
66,5,success,113,28.2978777885437,26.146803610659845,0.7335655689239502,25.415075302124023,0.9720146171810653,0.8849557522123894,4.757196701324738
67,7,success,88,22.02997064590454,21.674832686781883,1.3438304662704468,21.73952293395996,1.0,1.0,6.017652389615081
68,6,success,47,11.786610126495361,10.798026411794126,0.7473220825195312,11.030163764953613,1.0,0.9148936170212766,11.01233990987142
69,8,success,73,18.26925015449524,17.762230150401592,0.795404314994812,17.900402069091797,1.0,0.8767123287671232,6.680563496871733
70,7,success,74,18.5368709564209,18.193853989243507,1.3746788501739502,18.507604598999023,1.0,1.0,4.458754155370924
71,7,success,94,23.537667989730835,23.120370611548424,1.8860690593719482,23.228654861450195,1.0,1.0,4.717172850733218
72,12,success,33,8.274901151657104,8.120451360940933,12.938319206237793,8.375995635986328,1.0,1.0,5.498777235707929
73,9,success,76,19.004878759384155,18.46454906463623,0.775683581829071,18.625974655151367,1.0,0.881578947368421,8.655817702009871
74,8,success,74,18.51566433906555,17.784452794963727,0.8084868788719177,17.900402069091797,1.0,0.9054054054054054,5.720474110709296
75,8,success,72,18.015766620635986,17.642921552062035,0.7762665748596191,17.900402069091797,1.0,0.9722222222222222,5.761954648154123
76,15,success,57,14.26190710067749,13.281317509710789,0.7208793759346008,12.554413795471191,0.9452687044257384,0.7192982456140351,12.991000938415528
77,14,success,107,26.790738105773926,25.589837111532688,0.7374187111854553,23.221542358398438,0.9074517456749688,0.9532710280373832,9.59632568359375
78,14,success,109,27.29597306251526,25.89776848256588,1.1116054058074951,23.221542358398438,0.8966619025122164,1.0,7.328361965785517
79,14,success,102,25.53757929801941,24.305003136396408,0.6800876259803772,23.221538543701172,0.9554221578736288,0.9215686274509803,7.361824922561645
80,9,success,76,19.02272367477417,18.169054200610844,0.7085984349250793,18.094802856445312,0.9959133071349946,0.8552631578947368,11.437911033630371
81,12,success,33,8.237932682037354,8.124962285161018,13.34089469909668,8.375995635986328,1.0,1.0,5.394204847274288
82,8,success,73,18.273102283477783,17.90167874097824,0.8886593580245972,17.90040397644043,0.9999287907823475,0.9726027397260274,4.796270746580312
83,15,success,48,12.013998031616211,11.813558578491211,0.8436364531517029,11.847046852111816,1.0,0.8958333333333334,20.582999561143957
84,5,collision,75,18.787983179092407,18.030545130372047,0.877239465713501,23.122316360473633,0.0,0.9333333333333333,3.64180345404638
85,7,success,76,19.016470909118652,18.72965358197689,0.9110852479934692,18.808387756347656,1.0,0.9736842105263158,5.618447806384112
86,7,success,74,18.52418804168701,18.040190517902374,1.4043833017349243,18.14720344543457,1.0,1.0,5.197673956553142
87,15,success,55,13.770187377929688,13.495731309056282,1.0455210208892822,12.415276527404785,0.9199409978674916,1.0,12.811620064501492
88,7,success,90,22.533928871154785,22.13884998857975,1.8857696056365967,22.275222778320312,1.0,1.0,5.263541080734947
89,14,success,105,26.28597640991211,25.1785781159997,0.6918873190879822,23.221542358398438,0.9222737777889981,0.9619047619047619,9.482394922126844
90,7,success,78,19.53252649307251,19.219214096665382,1.335434079170227,19.27370834350586,1.0,1.0,4.994404717495567
91,6,success,45,11.242930173873901,10.982625231146812,1.0628286600112915,11.030163764953613,1.0,1.0,8.38078534325888
92,15,success,48,11.996678113937378,11.8426323980093,0.777010440826416,11.623649597167969,0.9815089421437972,0.8541666666666666,19.62088866855787
93,9,success,81,20.29031538963318,19.859916493296623,0.7503316402435303,19.94614601135254,1.0,0.9506172839506173,6.997097872480562
94,15,success,78,19.525066137313843,18.338002258631604,0.8143438696861267,17.343137741088867,0.9457484788412839,0.9615384615384616,13.20858779706453
95,14,success,111,27.78391981124878,26.621797785162926,0.7974570393562317,23.221538543701172,0.8722753711487955,0.9819819819819819,8.701211973067817
96,5,success,104,26.028587579727173,24.880259290337563,0.8264145851135254,24.47258186340332,0.9836144220935604,0.9423076923076923,5.375850219352572
97,9,success,73,18.270821571350098,17.191715090433718,0.7567442059516907,17.425472259521484,1.0,0.9178082191780822,6.115300621784908
98,6,success,47,11.760571956634521,10.926371763227507,0.8261867165565491,11.030163764953613,1.0,0.9148936170212766,11.13118798997667
99,6,success,45,11.265405893325806,10.80171550065279,0.8508495092391968,11.030163764953613,1.0,0.9333333333333333,9.165592637172965
100,6,success,44,11.016007661819458,10.820587635040283,0.8099215030670166,11.030163764953613,1.0,0.9318181818181818,5.5456243469601585
101,5,collision,103,25.801615715026855,24.553439728042576,0.7465424537658691,24.741077423095703,0.0,0.941747572815534,5.295123241915562
102,12,success,33,8.251075267791748,8.132195755839348,15.124661445617676,8.375994682312012,1.0,1.0,7.010939998011435
103,14,success,108,27.054986715316772,25.740873247385025,1.1155451536178589,23.221538543701172,0.9021270692928108,1.0,7.81763874809697
104,14,success,108,27.03723978996277,25.723277792334557,1.339633584022522,23.221538543701172,0.9027441499162718,1.0,6.879449664421801
105,5,success,97,24.264146327972412,23.588314205408096,0.7920229434967041,23.138059616088867,0.9809119640598988,0.9072164948453608,5.356279252704821
106,15,success,47,11.776162147521973,11.079841063290587,0.8152651190757751,11.322290420532227,1.0,0.7872340425531915,24.19614306555854
107,7,success,60,15.019006252288818,14.788180842995644,0.8547812700271606,14.884422302246094,1.0,0.95,4.486367110548349
108,12,success,33,8.267236471176147,8.128306776285172,11.523907661437988,8.375995635986328,1.0,1.0,8.83948181521508
109,5,success,94,23.515660047531128,22.880370169878006,0.7106057405471802,22.604568481445312,0.9879459254205691,0.8936170212765957,5.345155363497526
110,5,success,110,27.540112257003784,25.56383041292429,0.8596883416175842,25.191667556762695,0.9854418195493333,0.9727272727272728,6.565436557487205
111,5,success,99,24.76431941986084,23.92434747517109,0.6532530188560486,23.556049346923828,0.9846057189802362,0.8888888888888888,5.655068623650934
112,8,success,73,18.279701709747314,17.693923303857446,0.8376965522766113,17.90040397644043,1.0,0.958904109589041,4.0089899251158805
113,9,success,85,21.27972722053528,20.77347680926323,0.6197436451911926,20.743263244628906,0.9985455701560343,0.8117647058823529,11.057361614273255
