#{"t_start": 1749473319.15825, "env_id": "None"}
r,l,t
-1488.476977,780,40.622626
-453.152066,909,70.67632
-1583.645895,883,100.735903
1531.90961,906,130.768074
1891.767858,891,160.805896
1428.994396,902,190.828062
1122.778426,889,220.870241
1228.881034,902,250.910101
-1409.383987,902,280.959367
-731.612143,890,310.998476
-198.294903,852,341.041111
311.167692,295,441.998586
1249.949183,850,472.057164
1106.842849,852,502.088725
-852.540842,840,532.119613
1648.886711,875,562.167036
-153.80813,875,592.187033
106.03987,852,622.2418
1605.937255,865,652.315785
