#{"t_start": 1749473319.1127825, "env_id": "None"}
r,l,t
-258.413467,780,40.665112
-238.638765,909,70.713078
1050.691952,883,100.769693
1035.54106,906,130.810294
802.22803,891,160.843986
-1664.516786,902,190.88226
-732.842982,889,220.924053
495.918272,902,250.956465
1374.230521,902,280.999288
953.166336,890,311.052134
1085.36717,852,341.094829
-216.633181,295,442.049454
-103.559685,850,472.104301
-672.538552,852,502.129422
-736.312657,840,532.152174
1556.773744,874,562.18279
-1510.548115,876,592.232764
580.678965,852,622.292012
-1333.723747,865,652.350331
