#{"t_start": 1749473318.9215162, "env_id": "None"}
r,l,t
-721.453424,780,40.860576
-1113.320055,909,70.905371
-2339.454342,883,100.959412
1881.290326,906,131.015367
1689.137981,891,161.049142
317.974418,902,191.065805
758.391256,889,221.102506
1446.328045,902,251.147556
1168.935503,902,281.19098
1292.404133,890,311.246884
224.751877,852,341.287256
-215.132206,295,442.232526
-1425.780127,850,472.289757
1195.387848,852,502.3227
-530.157016,840,532.354686
-1589.024148,875,562.408819
1227.441081,876,592.465955
-1388.122236,852,622.51468
1384.111607,864,652.553274
