#{"t_start": 1749473318.8216643, "env_id": "None"}
r,l,t
28.677701,779,40.925335
-887.119835,909,70.971575
-697.085878,882,100.98945
1543.035974,906,131.031297
1704.817428,891,161.070472
1373.293644,902,191.094929
-271.799569,889,221.133823
-886.164406,902,251.169989
1157.081527,902,281.212317
450.188804,890,311.259034
461.167657,852,341.306354
9.892944,297,442.338733
1378.963249,850,472.389742
809.749672,852,502.422423
1241.454297,840,532.456308
-165.989495,875,562.514701
-1580.032032,876,592.570422
-1477.202367,852,622.628285
504.156938,864,652.651511
