#{"t_start": 1749473318.914685, "env_id": "None"}
r,l,t
1354.07854,779,40.833015
-388.258067,909,70.878509
-712.530982,883,100.932287
1877.819326,906,130.979322
-817.963313,891,161.006171
721.706877,902,191.037893
583.739436,889,221.065904
-1666.728522,902,251.118376
-515.82407,902,281.160203
692.833973,890,311.200002
-1327.656375,852,341.254849
273.914482,296,442.24754
1261.397084,850,472.311761
226.401625,853,502.380335
1205.121747,840,532.417801
1446.175881,875,562.469917
1245.527744,876,592.51958
-872.011934,852,622.573942
-1563.494455,864,652.616705
