#{"t_start": 1749473319.3225398, "env_id": "None"}
r,l,t
-589.361985,780,40.462457
707.258258,909,70.508212
612.822085,883,100.572581
-1573.517913,906,130.619168
-1933.32247,891,160.651287
1707.445856,902,190.679641
-355.81848,889,220.710601
1376.861494,902,250.746603
-1639.116614,902,280.801165
-1419.986595,890,310.840855
1128.109341,852,340.892626
705.993368,295,441.830991
-1388.888785,850,471.896451
-1427.292501,852,501.926907
-892.276718,840,531.958997
-957.979669,875,562.011889
-442.089449,876,592.072088
1377.352459,852,622.124236
-1181.180474,864,652.145432
