#{"t_start": 1749473319.2298536, "env_id": "None"}
r,l,t
1354.378118,780,40.548489
-467.081137,909,70.591745
1759.219474,882,100.614141
-2371.072656,906,130.659683
825.224171,891,160.691622
1744.186395,902,190.717732
797.332916,889,220.764544
-354.263174,902,250.792495
-1517.773323,902,280.843984
1445.06558,890,310.883137
1473.437134,852,340.93838
-423.346208,296,441.930467
-1021.145102,850,471.990708
414.120939,853,502.056999
178.419495,840,532.091838
1356.431725,875,562.14471
964.049844,876,592.198625
661.885644,852,622.250192
-1281.312199,864,652.303522
