#{"t_start": 1749473326.6858132, "env_id": "None"}
r,l,t
577.771905,1742,373.94278
-3480.598971,1830,403.961006
2621.905439,1819,433.978031
.258093,906,132.090427
1720.629355,891,162.128059
71.324876,902,192.153313
-534.577689,889,222.187147
1062.368778,902,252.232048
1323.390158,902,282.272643
529.227136,890,312.322612
-431.156696,852,342.365216
280.17612,295,443.313692
-1267.097061,850,473.385296
-1183.561331,853,503.449683
1234.929007,840,533.481473
58.545767,875,563.538288
-837.179147,876,593.594369
445.924784,852,623.648362
-628.290272,864,653.687391
