#{"t_start": 1749473318.9221323, "env_id": "None"}
r,l,t
-2146.730166,779,40.826237
1917.494637,909,70.870691
-2113.747383,882,100.888281
1534.682434,906,130.930949
-1521.763666,891,160.963674
-1644.428101,902,190.990777
-412.772398,889,221.034767
892.512132,902,251.072798
594.919572,902,281.121185
-231.629686,890,311.164317
-1325.415603,852,341.210873
-198.507319,297,442.236937
-1267.22901,850,472.304322
-554.655365,853,502.37057
263.130831,840,532.416675
-363.725191,875,562.45787
-1589.659369,876,592.518497
-911.221129,852,622.565925
-889.821682,864,652.61436
