#{"t_start": 1749473319.1129775, "env_id": "None"}
r,l,t
-1252.870294,780,40.668285
-714.282517,909,70.722217
-1886.693421,883,100.771956
1854.007286,906,130.814284
1825.353789,891,160.860568
608.254457,903,190.939275
495.211719,889,220.967327
-1591.06649,902,251.001897
614.529048,902,281.059866
1228.598727,890,311.110024
2.138282,852,341.149854
-363.560623,294,442.036588
-74.871613,850,472.098331
-447.416312,852,502.132239
-1243.509803,840,532.162103
-877.87581,875,562.208161
1381.216074,875,592.233588
1552.491097,852,622.279158
1726.864374,864,652.307245
